date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:04	44301/44301	---M--	200	added ('OK')	image/jpeg	etag:%22ad0d-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/home.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/home.jpg	(from https://davur.dexignzone.com/)
20:18:05	36831/36831	---M--	200	added ('OK')	image/jpeg	etag:%228fdf-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/home-mobile.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/home-mobile.jpg	(from https://davur.dexignzone.com/)
20:18:05	58276/58276	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2017:46:54%20GMT	https://davur.dexignzone.com/dashboard/email-compose.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/email-compose.html	(from https://davur.dexignzone.com/)
20:18:05	21958/21958	---M--	200	added ('OK')	image/jpeg	etag:%2255c6-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/email-compose.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/email-compose.jpg	(from https://davur.dexignzone.com/)
20:18:05	25412/25412	---M--	200	added ('OK')	image/jpeg	etag:%226344-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/email-compose-mobile.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/email-compose-mobile.jpg	(from https://davur.dexignzone.com/)
20:18:06	63031/63031	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2018:15:38%20GMT	https://davur.dexignzone.com/dashboard/ecom-product-grid.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/ecom-product-grid.html	(from https://davur.dexignzone.com/)
20:18:06	52486/52486	---M--	200	added ('OK')	image/jpeg	etag:%22cd06-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/ecom-product-grid.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/ecom-product-grid.jpg	(from https://davur.dexignzone.com/)
20:18:06	58687/58687	---M--	200	added ('OK')	image/jpeg	etag:%22e53f-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/ecom-product-grid-mobile.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/ecom-product-grid-mobile.jpg	(from https://davur.dexignzone.com/)
20:18:07	58453/58453	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Dec%202021%2017:10:58%20GMT	https://davur.dexignzone.com/dashboard/app-calender.html	G:/Templates/kiot-student-cafe/davur.dexignzone.com/dashboard/app-calender.html	(from https://davur.dexignzone.com/)
20:18:07	26623/26623	---M--	200	added ('OK')	image/jpeg	etag:%2267ff-5b12923907b00%22	https://davur.dexignzone.com/welcome/images/inner-page/app-calender.jpg	G:/Templates/kiot-student-cafe/davur.dexignzone.com/welcome/images/inner-page/app-calender.jpg	(from https://davur.dexignzone.com/)
